位於 at
山道 caroline
領地 leaders
收聽 listen
tun tun
渐渐 gradually
不了 no
不予 not
領土 leaders
stats stats
state state
局限 limited
底下 under
附近 near
明智 wise
tvb tvb
年初 early
过多 more
environmental environmental
跆拳道 taekwondo
高密度 high-density
tvn tvn
清澈 clear
附送 attached
下令 ordered
雙線 dual
上任 office
万余 million
维护 maintenance
這位 this
逃出 escape
數碼 numbers
幼儿 children
two two
追加 additional
渡江 crossing
昔日 former
幼兒 baby
inclination inclination
七個 seven
并列 parallel
暴力 violence
三位 three-bit
专业 professional
watch watch
speech speech
purple purple
疫苗 vaccine
陰謀 conspiracy
沿革 evolution
甲酸 acid
anne anne
上位 pc
浪花 spray
類似 similar
anna anna
哪種 which
曾祖父 grandfather
田野 field
新版 new
常委 npcsc
阿部 abe
hbar hbar
逃到 fled
撤銷 withdrawal
眼前 eyes
陳誠 honest
eastern eastern
不会 no
ultimate ultimate
下位 lower
暴動 violent
广元 guangyuan
上來 up
明月 moon
隨著 with
世上 world
滑坡 landslide
国内外 abroad
渡河 crossing
明朝 ming
哈薩克 harry
linecolor linecolor
house house
不但 but
下來 down
署名 signature
領域 territory
hours hours
泄露 leaked
start start
stars stars
不住 can't
通俗 popular
巴托 buttle
watson watson
库伦 cullen
无法 cannot
省委 provincial
這個 this
退化 degradation
一億 billion
含量 content
required required
不佳 poor
流血 bleeding
通信 communication
名門 door
近代史 history
流行 popular
連任 connected
局面 situation
韶山 shaoshan
三個 three
密西根州 michigan
唱片 record
鹿野 luyeh
霸王 fighter
一元 unary
cinematography cinematography
anti anti
队长 captain
andreas andreas
喀麥隆 kerala
晚年 later
不便 inconvenience
巴拉 palawan
編著 edited
沉默 silence
瘟疫 plague
一八 18
不俗 good
維護 maintenance
故而 therefore
世人 world
喀麦隆 cameroon
一共 altogether
美元 dollar
渡海 cross-harbour
一具 a
阿里 ali
消耗 consumption
世代 generation
一再 repeatedly
平原 plain
也就是 is
總稱 always
處置 processing
處罰 punishment
water water
平反 vindicated
湖村 lake
教練 coaches
timezone timezone
东乡 dongxiang
温泉 spa
相容 compatibility
岔路 fork
漢人 hans
平台 platform
看好 watch
展開 unfold
渤海 bohai
直属 immediate
built built
不停 kept
星星 stars
景山 jingshan
build build
东亚 east
逐出 drove
群众 masses
週一 monday
史蒂文斯 stevens
ufo ufo
stack stack
一刀 knife
漢代 hans
一切 all
異議 suggestion
一分 point
缺少 lack
相對 opposite
railway railway
cube cube
法院 court
群体 groups
檢察官 inspectors
屏障 barrier
警察局 police
一刻 moment
生長 grow
造假 fraud
迎娶 marry
頂尖 apex
繪畫 painting
transparent transparent
一則 one
雙翼 wings
三元 ternary
适合 for
hotel hotel
改良 improved
常客 regulars
staff staff
right right
春日 spring
平和 peace
stage stage
擊退 attack
小麦 wheat
西北部 northwest
penguin penguin
跟随 follow
世俗 secular
各項 various
三八 38
週五 friday
later later
airlines airlines
並且 and
昨日 yesterday
距離 distance
迁居 moved
跟隨 follow
final final
帽子 hat
效能 effectiveness
paradise paradise
远处 distance
toyota toyota
司馬 division
造像 statue
人口密度 density
造價 price
畫質 painting
逆向 reverse
harris harris
tommy tommy
und und
星期 week
grand grand
une une
不公 injustice
麻豆 madou
grant grant
沙鹿 shalu
瘫痪 paralysis
經過 through
甘露 mannose
電晶體 crystal
latin latin
屋頂 roof
后面 behind
川村 kawamura
与其 its
文科 arts
banco banco
隱藏 hidden
uhfffaoysa uhfffaoysa
warner warner
常山 changshan
birthplace birthplace
抗生素 antibiotics
巨星 superstar
一半 half
吃飯 eat
美化 beautify
一千 1000
不准 forbid
斯坦福 stanford
附錄 attached
stang stang
溫度 temperature
白水 whitewater
stand stand
序列 sequence
新生 new
下列 following
演出 show
限量 limited
同音 homophone
url url
singapore singapore
編號 number
鼓舞 encouraging
上刻 engraved
教義 teaching
usa usa
器件 devices
usb usb
use use
subject subject
上前 forward
新田 xintian
座位 seat
最高峰 peak
uss uss
類別 types
七十 70
預定 predetermined
已故 late
logo logo
manga manga
曙光 dawn
錦標賽 antony
广告 advertising
utc utc
utf utf
七千 7,000
白沙 baisha
null null
不利 adverse
工會 work
游泳 swimming
latns latns
離職 leave
造出 create
工期 duration
看守 guard
海葵 anemone
白河 baihe
同類 similar
个人 personal
新疆 xinjiang
中也 also
輝煌 brilliant
一只 one
嘻哈 hip-hop
名額 name
一口 a
一句 sentence
邱吉爾 churchill
看完 read
bytes bytes
相差 difference
一台 a
监护 custody
一号 number
演劇 drama
日漸 day
曝光 exposure
一名 a
一同 together
繁簡 simple
中京 beijing
一向 always
通勤 commuter
混用 mixed
august august
不力 poor
吠陀 vedic
通化 tonghua
巴斯 bath
教職 teaching
文章 article
中介 intermediary
缺席 absence
safari safari
ernst ernst
撤除 removal
long long
三十 30
三千 3,000
浏览 browse
个体 individual
一周 week
wolf wolf
度假 holiday
阴阳 yin
上千 thousands
網路 internet
上升 rise
教育 education
上午 morning
bishop bishop
演化 evolution
迪夫 dave
下午 afternoon
loop loop
wood wood
路障 roadblocks
神奈川 shenlaichuan
wong wong
招商局 merchants
美味 delicious
清理 clean
常州 changzhou
look look
遇上 meet
撤離 withdraw
scar scar
嘉定 jiading
總結 total
三原 sanyuan
淀粉 starch
lord lord
退回 return
更低 lower
新的 new
總統 president
和解 reconciliation
領導 leaders
霧社 fog
威靈頓 arlington
會計師 teacher
志願軍 volunteers
上去 sounds
最上 most
通史 history
常常 often
連勝 victory
三台 three
loss loss
上古 ancient
雄蕊 stamens
lost lost
三合 triad
平地 unfairly
下去 down
關鍵字 keys
linesman linesman
直径 diameter
烏拉圭 uruguayan
val val
van van
霉素 mildew
var var
work work
通向 to
上司 boss
省市 provinces
上台 stage
軍籍 military
常年 perennial
靈異 spirituality
word word
中俄 sino-russian
平均 average
love love
路面 pavement
extension extension
陸軍 continental
下台 down
週六 saturday
不及 than
相当 quite
收藏 collection
vcd vcd
平坦 flat
順序 order
波音 boeing
帮忙 help
通告 notice
進入 enter
港澳 macao
阿斯特 astor
海藻 seaweed
不只 not
層面 layer
市政 municipal
为了 to
不可 not
不合 illogical
vec vec
不同 different
既然 since
過世 past
泰隆 tyrone
hunter hunter
ver ver
隆起 uplift
三和 three
过度 degrees
marcus marcus
平城 pingcheng
省府 provincial
主事 principal
一直都 always
造反 rebel
合體 combined
scientific scientific
替代 alternative
winter winter
业务 business
陳述 statement
主人 master
parameter parameter
泰雅 atayal
测试 test
週刊 weekly
過了 past
迁徙 migration
山阳 shanyang
vhs vhs
watershed watershed
器具 apparatus
韓文 korean
注音 phonetic
道上 road
辩护 defence
迷失 lost
via via
pierre pierre
vie vie
目前為止 currently
vii vii
vip vip
工業 industry
山陽 sun
巴林 bahrain
主任 director
vietnam vietnam
清真寺 mosque
道中 daozhong
相思 acacia
屍體 corpse
日照 sunshine
雅虎 yahoo
演員 actor
最低 minimum
咒語 mantra
丹佛 denver
经济 economic
連合 connected
畅销 best-selling
十六日 16th
麻辣 spicy
義務 obligation
運作 operations
明治 meiji
順德 de
density density
痛苦 pain
主体 subject
利比亞 billy
常德 changde
通商 trade
過份 too
最佳 best
了解到 understand
遍佈 spread
演唱 singing
spring spring
湖水 lake
達也 gundam
商用 commercial
真實 true
月亮 moon
专员 commissioner
有事 something
墨西哥 mexico
东华 donghua
有些 some
活躍 active
private private
統領 leaders
商界 business
旁白 narration
vol vol.
近年 recent
von von
一回 once
平壤 pyongyang
總署 office
早熟 precocious
有人 someone
庄园 manor
過來 come
播音 broadcasting
中共 cpc
special special
environment environment
癌症 cancer
達人 people
月份 month
joker joker
益智 puzzle
一圈 lap
蛋白 protein
called called
吸附 adsorption
幅度 amplitude
湘江 xiangjiang
時會 time
周遭 around
時期 time
清白 innocent
雪花 snow
之上 above
主修 major
之一 one
不善 mismanagement
遗产 heritage
周邊 weeks
之下 under
阵风 gust
相愛 love
進化 evolution
湖泊 lakes
迫害 persecution
weapons weapons
渥太華 ottawa
廉价 cheap
个别 don't
之中 among
喜歡 likes
之久 long
擅長 good
湛江 zhanjiang
chairman chairman
服从 obey
species species
布朗 brown
画面 picture
之乱 chaos
眾多 multitude
水利工程 water
斑紋 speckles
两千 2000
當過 when
之争 dispute
十八日 18th
之亂 chaos
之二 bis
runway runway
之于 on
撫養 were
清真 halal
遗传 genetic
響應 impact
百灵 lark
明清 ming
可靠性 reliability
cosplay cosplay
尼古拉 nikolai
financial financial
dreams dreams
當選 select
雪莉 shirley
終點 finally
看待 see
電腦 computer
顧問 ask
相應 reaction
万国 nations
進口 entrance
看得 see
transport transport
售票 ticket
北美洲 north
达成 reached
严厉 severe
佐久間 saku
幸好 fortunately
遞交 delivery
zealand zealand
新秀 rookie
三国 three
更加 more
智慧 wisdom
降雨 rainfall
countries countries
帕斯 perth
久保 kubo
一場 scene
麻醉 anesthesia
一塊 piece
暫定 temporarily
最先 first
another another
miguel miguel
味道 taste
習俗 vulgar
電臺 tv
ernest ernest
apps apps
人民法院 court
之作 of
額外 extra
轉為 turned
广大 general
希望 hope
迷宮 maze
administration administration
編譯 translations
界限 boundaries
microsoft microsoft
operator operator
white white
改装 modified
中区 central
中医 tcm
處處 where
不在 not
中午 noon
fields fields
遇刺 assassination
中南 south
改裝 modified
瞄准 aim
central the
遇到 encountered
發燒 fever
greek greek
green green
螢幕 screen
カップ カップ
wan wan
派遣 troop
was was
war war
幕府 shogunate
way way
女主角 heroine
青石 cordierite
流通 circulation
african african
命运 fate
皆為 are
類型 types
頻寬 bandwidth
issues issues
最初 initial
蔣介石 蔣
中原 zhongyuan
游牧 nomadic
double double
收視 receive
一大 big
海角 cape
直接 directly
金字塔 pyramid
新竹 hsinchu
九三 93
道光 light
院長 hospital
月光 moonlight
九世 ix
web web
wei wei
廉價 cheap
一套 a
中古 medieval
中叶 century
颁发 issued
命運 destiny
朝代 dynasty
great very
遣使 send
月内 months
造型 modeling
一女 woman
黃金 gold
平安 peace
峡谷 canyon
方程 equation
monkey monkey
有关 about
也不 nor
岐阜 gifu
一如 as
平定 calm
涂装 painting
更名 renamed
道具 props
界面 interface
退守 retreated
黄金 gold
são são
美好 better
相接 phase
音效 sound
九九 99
美女 beauty
吸食 smoking
黑道 sopranos
whc whc
不堪 unbearable
topic topic
who who
雞蛋 eggs
主力 main
why why
丰台 fengtai
适宜 appropriate
oldid oldid
電荷 electricity
wii wii
日生 nisseng
適當的 appropriate
win win
九五 95
晚會 later
attention attention
運動 movement
parent parent
晚期 advanced
月刊 monthly
几十年 decades
隆重 grand
年少 young
湘潭 xiangtan
月初 month
政見 government
举动 move
举办 held
丈夫 husband
微生物 microbial
加斯加 madagascar
迎戰 war
直播 live
西南部 southwest
有利 favourable
達到 reached
hdtv hdtv
阿布扎比 dhabi
平山 pingshan
上天 god
幼子 young
巴比 bobby
洛阳 luoyang
之內 inside
interview interview
喬治 george
真心 really
上奏 played
之内 within
won won
justin justin
浪費 waste
三好 miyoshi
michel michel
which which
流量 flow
相撞 collided
服刑 prison
緊鄰 neighbors
中科院 cas
乌兰 wulanchabu
鹦鹉 parrot
never never
不大 little
普敦 northampton
演奏 played
維吉尼亞 victoria
府城 tainan
有功 active
有力 powerful
vocal vocal
有助 help
不失 yet
mathrm mathrm
馬來亞 malaysia
洛陽 sun
錄影帶 tape
广安 guangan
旅程 journey
甚麼 what
本人 myself
發球 ball
發現 found
遍及 throughout
隨身 follow
末代 last
身處 body
不如 than
所有者 owner
wta wta
轟炸 bombing
不妥 wrong
不妨 might
過去 past
罷工 strike
商科 business
曾和 zeng
jennifer jennifer
溫暖 warm
九個 nine
上下文 context
不一定 not
主君 lord
繁荣 prosperity
两国 two
巡演 tour
一子 son
一字 word
服務 service
潛入 diving
除非 unless
一季 season
之前 before
返抵 return
义务 obligations
晨曦 dawn
改變 change
農會 agriculture
wwe wwe
潜入 into
迎接 meet
真情 truth
日益 increasingly
while while
未來 future
通婚 intermarriage
一定 must
www www
美学 aesthetics
頒授 issue
一宮 palace
本体 ontology
數萬 million
一家 a
時段 time
heat heat
和郎 haron
seal seal
sean sean
storage storage
海豚 dolphins
農村 cun
head head
本來 ben
辣椒 pepper
道口 crossing
雙親 twins.
美容 beauty
溪村 xi
海豹 seals
肯尼迪 kennedy
發言人 people
一尊 a
一對 pair
一封 letter
違反 against
委内瑞拉 venezuela
庭園 courtyard
還不 not
陰陽 sun
下嫁 marry
四合院 courtyard
有名 famous
朋友 friends
mitchell mitchell
發生 happen
平常 usual
seat seat
有否 any
會員 members
常数 constant
復活節 resurrection
清算 liquidation
木偶 puppet
seed seed
市民 public
編輯 edit
收費 charge
嘴巴 mouth
常數 constant
一屆 she
締造 締
進場 field
主唱 singer
平平 flat
一層 layer
flower flower
sect sect
中國 china
中国 china
年幼 young
joint joint
陷阱 trap
收購 shopping
咸豐 salty
上学 school
yahoo yahoo
sega sega
隧道 tunnel
加油站 station
年底 end
支路 branch
潛力 potential
潜力 potential
陣風 wind
罪惡 sin
年度 annual
mathbf mathbf
幫忙 help
mathbb mathbb
幼稚園 kindergarten
期刊 journal
上官 shangguan
通宵 overnight
万寿 longevity
集資 collection
老人 elderly
戴高樂 monocle
建交 diplomatic
轉生 transfer
進士 advanced
之友 friends
公元前 bc
正方形 square
docomo docomo
中型 medium
cityofbirth cityofbirth
文莱 brunei
延伸 extension
幽州 youzhou
hell hell
不安 uneasy
过时 outdated
一個人 person
雜誌 magazine
不定 uncertain
不宜 not
屠龍 maosaurus
之后 after
經驗 experience
机会 opportunity
相望 across
广州 guangzhou
赫爾辛基 helsing
上尉 captain
面積 area
south south
不容 not
相机 camera
tools tools
順暢 smooth
暴徒 mob
机体 body
海路 sea
畫面 painting
semi semi
翻修 renovation
退役 retired
遺傳 heritage
北京市 beijing
help help
中堅 strong
遭到 was
源氏 source's
幼年 juvenile
depth depth
麻雀 sparrow
晋江 jinjiang
self self
蛋糕 cake
适当 appropriate
三山 sanshan
而且 and
sound sound
皇甫 huangfu
而不 without
帶有 brings
xii xii
預料 expected
xin xin
明珠 pearl
繼續 continue
barset barset
迷惑 confused
不少 many
上山 mountain
行事 act
暂时 temporarily
下属 subordinates
here here
常會 often
擦音 fricative
下屬 under
齊藤 rattan
hero hero
逃往 fled
噪声 noise
下山 down
不屈 unyielding
教訓 training
常有 often
medals medals
逸夫 shaw
上岸 ashore
implementation implementation
農業 agriculture
库尔 kurt
岳阳 yueyang
应对 response
日常生活 daily
三峡 tgp
店家 store
行人 pedestrian
造就 created
木制 wooden
迎春 spring
顧客 customers
开会 meeting
xml xml
號誌 magazine
serv serv
一席 seat
近日 recently
过期 period
省會 save
善用 use
了一 a
消費 consumer
一帶 belt
隊長 captain
接下來 next
著作權 copyright
品質 quality
罹患 risk
世宗 sejong
山麓 foothills
救護 save
一幅 picture
追悼 memorial
男朋友 boyfriend
平息 calm
中壢 壢
一幕 scene
幻影 phantom
引人注目 striking
世家 family
过来 to
早稻田 waseda
逐年 yearly
音樂 music
一年 year
中外 foreign
街上 street
綱領 car
晶格 lattice
巴勒斯坦 palestinian
九十 90
選出 select
监测 monitoring
中天 zhongtian
朝向 towards
area area
新聞 news
行使 exercise
中央 central
更多 more
一座 a
適合 fit
一度 once
success success
源流 origin
避免 avoid
更大 greater
gilgalad gilgalad
日程 schedule
督察 inspector
samsung samsung
目標 target
颁奖 awards
args args
named named
二世 ii
更好 better
督導 governor
一式 one-
预备 preparatory
通州 tongzhou
文化大革命 revolution
白石 baishi
遭受 suffered
aria aria
这时 then
上市 listed
winner winner
海运 shipping
罗斯 rom
文藝 art
一張 a
哪裡 where
康复 rehabilitation
circuit circuit
爭奪戰 war
涉足 into
美式 american
通常 usually
會堂 church
予以 be
支那 sino
更始 reform
原材料 materials
names names
framework framework
机关 organs
準決賽 finals
面粉 flour
古希臘 gouchy
xxx xxx
近期 recent
一律 all
老公 husband
日立 hitachi
不已 unceasingly
支部 branch
老兵 veterans
會場 meeting
basin basin
序幕 prelude
army army
互不 non-interference
湖畔 lake
看来 seems
海運 sea
arms arms
governor governor
basic basic
事件 event
ahmed ahmed
盧比 toulouse
星球 planet
一心 heart
廣告 advertising
幻想 fantasy
藻類 algae
上座 theravada
纖維 fiber
二代 second-generation
elevation elevation
途径 way
領有 leaders
記憶體 memory
過境 past
五一 51
美德 virtue
耕作 farming
電視 tv
途徑 paths
支配 disposable
滿意 satisfied
辦法 way
海邊 sea
不幸 unfortunately
改造 transformation
那么 so
改進 change
最多 up
井上 inoue
utricularia utricularia
welcome welcome
chaos chaos
繁衍 reproduction
平房 bungalow
青春期 puberty
最大 largest
總裁 president
javascript javascript
机制 mechanism
所罗门 solomon
平手 tie
改道 diversion
器官 organ
二位 two-bit
那些 those
唱腔 singing
之地 land
chase chase
道場 road
改選 change
新興 new
defense defense
新舊 new
currency currency
罕有 rare
arts arts
麒麟 kylin
連帶 link
的确 indeed
yam yam
yan yan
相機 camera
韵母 vowels
本名 name
廠商 factory
最好 best
進展 progress
速度 speed
建制 formed
开关 switch
chart chart
農民 farmer
放送 nhk
四世 iv
曲子 song
需要 need
things things
avenue avenue
champ champ
過多 more
放逐 exile
席次 seats
efcfff efcfff
痕跡 traces
暑期 summer
羅馬尼亞 rome
深色 dark
邦交 allies
天主教徒 catholic
通往 to
的確 correct
底座 base
巴爾 ba
電話 phone
五代 dynasties
溪水 stream
中学 secondary
隔離 isolation
yes yes
晚清 qing
追捕 hunt
道士 monks
yet yet
建功 jiangong
不当 improper
买卖 sale
麗麗 beautiful
雷諾 mine
病逝 died
chang chang
二個 two
川町 chuan-cho
真是 is
着手 to
巴特 bart
科羅拉多 colorado
multi multi
engle engle
映画 map
引來 draw
百科 wikipedia
两岸 cross-strait
潛在 potential
韻母 rhythmic
不得 not
營業額 camp
道夫 astoria
五位 five
海里 sea
老化 aging
潜在 potential
一首歌 song
adams adams
知事 know
layer layer
不必 without
庶子 bastard
義工 volunteer
行列 ranks
總計 gross
命題 problem
这样 such
中将 will
單獨 single
earnings earnings
智慧型 intelligent
嚴厲 strict
中尉 lieutenant
garden garden
主婦 bride
方舟 ark
ради ради
中小 smes
更少 less
丰富 rich
有如 like
邁向 michael
不怕 afraid
願意 willing
監測 surveillance
春田 springfield
明石 akashi
朝圣 pilgrims
history history
lamigo lamigo
崛起 rise
条件 conditions
族群 ethnic
李元 zu
轉移 shift
康定 kangding
相比 compared
四位 four
延吉 yanji
那個 that
溪流 streams
老友 friends
alternative alternative
羅拉 sarah
中山 zhongshan
杏兒 apricot
乘坐 ride
五個 five
書寫 books
barry barry
选择 select
丸子 meatballs
事先 prior
纠纷 disputes
行動 action
一成 a
噴射 spray
康寧 conrad
you you
之外 outside
领导 leadership
之多 many
active active
明确 clear
之夜 night
一戰 battle
羈押 bohemian
考取 obtain
二元 binary
中共中央 cpc
一手 hand
mirror mirror
事典 things
条例 ordinance
迴旋 spin
一所 a
考古 archaeological
亞伯 bobbie
assembly assembly
产业 industry
遇害 killed
明確 clearly
回來 back
不惜 at
交互 interaction
marco marco
景泰 jingtai
座席 seats
march march
一批 a
不久就 soon
追擊 chase
收錄 recording
矮人 dwarf
一把 a
遊客 tourist
衛冕 corona
scotland scotland
四個 four
進度 progression
病重 sick
补偿 compensation
交代 account
交付 delivery
喪生 born
静脉 vein
直流 dc
干擾 disturb
痕迹 traces
主客 subject
marie marie
maria maria
不愿 than
主宰 dominate
纤维 fiber
溪湖 xihu
法蘭克福 frankfurt
asia asia
不慎 accidentally
开口 opening
michael michael
引入 introduced
暫時 momentarily
最小 minimum
漳州 zhangzhou
石井 ishii
religions religions
action action
顯得 obviously
最少 least
victoria victoria
开启 open
mario mario
事前 prior
衝出 impulse
日内瓦 geneva
而又 and
explorer explorer
主導 principal
靜脈 meditation
輸給 output
螺旋 spiral
shield shield
差異 differences
東京 tokyo
steve steve
中川 nakagawa
本国 national
會將 will
中巴 cmb
天秤座 libra
青色 cyan
本土 local
无罪 innocence
本地 local
而后 then
引出 leads
演戲 play
敘述 syria
aspx aspx
短信 sms
下一步 next
白粉 powder
密西西比 mississippi
事務 tasks
下手 start
不成 not
平方 sq
溶液 solution
干旱 drought
希爾 greece
商船 merchant
廣場 squares
流體 flow
有害 harmful
一揆 coyett
myspace myspace
編集 edited
道家 taoism
平日 weekday
一提 mention
涡轮 turbine
造成 caused
演技 acting
中平 flat
矿业 mining
スペシャル スペシャル
socket socket
頭條 head
广播 broadcasting
衝動 motion
餅乾 biscuit
弟兄 brothers
罪案 crime
龍華 dragon
遊樂場 playground
遺址 heritage
macross macross
主峰 peak
based based
中庭 atrium
引力 gravity
乙女 b-girl
二十 20
二千 2000
松下 panasonic
fact fact
亚军 runner-up
监狱 prison
三振 three-vibration
本堂 pastor
表决 vote
互助 mutual
中廣 in
机器 machine
争取 for
發給 gave
face face
yyyy yyyy
街口 corner
产值 output
連戰 war
chiefwei chiefwei
junction junction
矿产 mineral
深處 deep
互動 interact
中式 chinese
faff faff
commands commands
please please
大自然 nature
廣大 big
laboratory laboratory
人中 people
之家 home
帕爾 palmer
车祸 accident
羅斯 ross
面臨 face
松井 matsui
烏克蘭 ukraine
事后 afterwards
grande grande
云南 yunnan
纷纷 have
guitar guitar
运河 canal
眷村 village
輪胎 tires
也好 or
comment comment
眾議員 members
巨石 boulder
二名 two
fair fair
郎中 herbalist
safety safety
回到 back
人事 personnel
zip zip
图书 books
五十 50
看法 view
一支 a
五千 5,000
浮雕 relief
过渡 ferry
身邊 around
眺望 overlooking
石像 stone
个性 personality
減至 minus
年末 end
中心 center
职业 career
乌尔 your
steel steel
纺织 textile
遍布 throughout
建国 founding
海關 sea-related
人人 everyone
fall fall
国人 russians
主席 president
血型 abo
本多 more
旗艦 flagship
来到 came
平板 tablet
經紀人 century.
年来 years
first the
highschool highschool
nowrap nowrap
纽约 york
一文 article
固体 solid
中性 neutral
海防 haiphong
fang fang
主干 trunk
邢台 xingtai
路易斯安那 louisiana
一方 party
雷达 radar
国会 congress
fami fami
fame fame
四千 4,000
一族 clan
一旁 aside
vincent vincent
四十 40
error error
透明 transparent
食品 food
人体 human
operations operations
近海 offshore
steam steam
繪製 drawing
罗汉 arhat
交出 surrender
餘下 rest
巡禮 tour
遺失 lost
康德 kant
一日 day
过滤 filter
一旦 once
fans fans
最廣 most
連接 connect
敵軍 enemy
雨量 rainfall
开国 founding
之島 island
過度 degree
resolution resolution
預測 predictions
暗殺 kill
回升 rebound
景点 attractions
翌年 year
這支 this
真正 real
雷達 radar
參謀長 chief
星空 stars
已知 known
適宜 appropriate
乘客 passengers
fate fate
弥勒 maitreya
春秋 spring
一時 time
七日 7th
三支 three
高射炮 flak
攻防 defense
收集 collection
close close
distributor distributor
咸阳 xianyang
fast fast
七星 seven
未婚 unmarried
最後 last
月底 month
廟宇 temple
羅東 rome
軌跡 orbital
杰出 outstanding
工科 engineering
四合 tetraena
亨利 henry
中意 favorite
组织 organizations
攻陷 fell
zur zur
下放 decentralization
人們 people
无色 colorless
露西 lucy
白羊 aries
educational educational
州立 state
石刻 stone
仅仅 just
有序 orderly
耦合 coupling
美景 beauty
濒临 endangered
餘人 rest
缺点 shortcomings
断裂 fracture
阿美族 ami
知名 well-known
海面 sea
序数 ordinal
工程 engineering
directory directory
監獄 prison
盔甲 armor
三方 tripartite
巢穴 nest
過往 past
會後 after
上方 above
最快 fastest
四周 around
基隆市 jilong
過後 after
三日 3rd
逮捕 arrest
一曲 song
不敢 can't
shortsummary shortsummary
一月 month
终结 end
帝王 emperor
國人 nation
下方 below
大概是 probably
从中 from
混血 hybrid
一本 book
邊境 border
上旬 early
三明 sanming
辦理 manager
当中 of
病院 hospital
三星 samsung
丁未 ding
不斷 constantly
下旬 late
不断 constantly
老大 boss
epoch epoch
local local
unii unii
一村 meilin
所羅門 solomon
改革 reform
歌舞伎 kabuki
上映 release
師父 teacher
synthesis synthesis
一条 piece
郡主 princess
七月 july
三国志 kingdoms
開玩笑 joking
从事 in
shan shan
發聲 sound
shaw shaw
車輛 vehicle
激光 laser
亦即 i.e.
道後 road
石化 petrochemical
有待 pending
一枚 a
当事 parties
一枝 a
普爾 pur
東勢 east
border border
遵守 compliance
消防 fire
不明 unknown
touch touch
交叉 cross
聘任 appointment
不易 difficult
車輪 wheels
unit unit
hybrid hybrid
经纪 brokerage
耕地 farmland
發育 development
也就 so
未定 undecided
unix unix
yearsactive yearsactive
一架 a
街坊 neighborhood
普特 pu
東北 east
不是 no
消除 elimination
願望 wish
處長 grow
強制 compelling
道德 moral
青蛙 frog
当今 today
東區 east
园区 park
斷裂 split
曲折 twists
易經 easy
轉而 turn
故障 fault
当代 contemporary
斯里蘭卡 seri
服役 service
亦可 may
石原 shiyuan
ship ship
齒輪 gears
弱化 weakening
聚会 party
shin shin
瞳孔 pupil
三月 march
最愛 love
极其 extremely
国共 kuomintang
国内 domestic
這本 this
施行 purposes
哪里 where
一根 root
部下 men
選定 select
photographs photographs
三木 hiroshi
主意 idea
相片 photo
一案 case
總部 department
devil devil
序曲 overture
predecessor predecessor
強力 strong
本尊 buddha
数量 number
昵称 nickname
大多數 most
当作 as
有所不同 different
飽受 saturated
宋楚瑜 soong
老婆 wife
新設 new
三条 three
中指 finger
上杉 obersam
廣島 island
末尾 end
強勢 strong
享受 enjoy
上村 shang
本届 session
上来 up
either either
一條 a
尼泊爾 nepal
收養 nutrition
不曾 never
習性 learning
廚師 chef
晶片 chip
東口 east
不會 won't
交响 symphony
疾風 wind
海德堡 heidelberg
之後 after
漢文 hans
不服 refuses
他人 others
下村 village
星系 galaxies
预报 forecast
強化 enhanced
linkname linkname
parker parker
匈牙利 hungary
parameters parameters
遷居 habitat
开始 begin
天主教堂 cathedral
shop shop
show show
本山 mountains
shot shot
有情 love
一棟 building
不朽 immortal
漢族 hans
乍得 chad
大多是 mostly
上架 last
群星 stars
camponotus camponotus
遼寧 遼
離開 leave
一棵 tree
激励 incentive
盾牌 shield
部份 part
仙人 fairy
食堂 canteen
默默 silently
軌道 track
激動 exciting
部件 parts
canvas canvas
哈雷 harley
九州 kyushu
人力 human
有意 interested
旅行 travel
雙雙 dual
国力 strength
极力 strongly
激勵 inspire
遊戲 game
青衣 tsing
本島 island
lollipop lollipop
追殺 kill
廣州 canton
進攻 attack
延安 yanan
數量 number
激化 intensified
上校 colonel
方言 dialect
更換 change
当做 as
部位 parts
朝廷 court
會戰 war
四国 shikoku
lucy lucy
cloud cloud
會所 will
頗為 aleppo
廁所 toilet
白色 white
郊区 suburbs
england england
编码 coding
郊區 suburbs
important important
自然界 nature
daily daily
百色 baise
机密 confidential
延寿 prolong
建安 jianan
週日 sunday
联军 coalition
國公 public
以上 above
國共 communist
建宁 jianning
斥資 investment
以下 following
之情 feeling
回国 home
billion billion
职务 positions
老家 home
白花 white
習慣 habits
original original
在世 alive
转变为 into
kingdom kingdom
松原 songyuan
他們 them
介入 intervention
追求 pursuit
平民 civilians
考官 examiner
front front
百花 flowers
圣人 saint
projects projects
textcolor textcolor
canon canon
形似 shape
一樓 floor
土佐 tosa
漢書 hans
一樣 like
達成 reached
之意 meaning
主持 auspices
考察 investigation
gundam gundam
plant plant
幫派 help
濃厚 thick
潮州 chaozhou
jones jones
本州 honshu
luis luis
公爵夫人 duchess
平江 pingjiang
期待 expect
替换 change
國分 country
专栏 column
national national
本市 city
有所 has
並於 and
令人 is
人口 population
代代 generation
在于 is
开学 school
圖像 images
细节 details
代价 price
秋海棠 begonia
joey joey
animalia animalia
杜塞 doucet
luke luke
人名 names
黎巴嫩 lebanon
被俘 captured
sigma sigma
champions champions
末年 dynasty
研制 development
新豐 new
替換 swap
郵件 email
札幌 sapporo
国君 monarch
however however
更改 change
luna luna
地上 ground
地下 underground
related related
上榜 list
石器 paleolithic
集體 aggregates
津巴布韋 zimbab
harper harper
準確 accurate
族裔 ethnic
nancy nancy
